pair;ProtA;ProtB;Reactome;Corum;database;inComplex
Q9H4M9-Q9NZN3;Q9H4M9;Q9NZN3;TRUE;FALSE;ReactomeOnly;yes
P60953-P63000;P60953;P63000;TRUE;FALSE;ReactomeOnly;yes
P60953-Q5JSL3;P60953;Q5JSL3;TRUE;FALSE;ReactomeOnly;yes
P60953-Q8NF50;P60953;Q8NF50;TRUE;FALSE;ReactomeOnly;yes
P60953-Q92608;P60953;Q92608;TRUE;FALSE;ReactomeOnly;yes
P60953-Q96BY6;P60953;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
P63000-Q5JSL3;P63000;Q5JSL3;TRUE;FALSE;ReactomeOnly;yes
P63000-Q8NF50;P63000;Q8NF50;TRUE;FALSE;ReactomeOnly;yes
P63000-Q92608;P63000;Q92608;TRUE;FALSE;ReactomeOnly;yes
P63000-Q96BY6;P63000;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
Q5JSL3-Q8NF50;Q5JSL3;Q8NF50;TRUE;FALSE;ReactomeOnly;yes
Q5JSL3-Q92608;Q5JSL3;Q92608;TRUE;FALSE;ReactomeOnly;yes
Q5JSL3-Q96BY6;Q5JSL3;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
Q8NF50-Q92608;Q8NF50;Q92608;TRUE;FALSE;ReactomeOnly;yes
Q8NF50-Q96BY6;Q8NF50;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
Q92608-Q96BY6;Q92608;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
O60262-P59768;O60262;P59768;TRUE;FALSE;ReactomeOnly;yes
O60262-P62873;O60262;P62873;TRUE;TRUE;both;yes
O60262-P62879;O60262;P62879;TRUE;TRUE;both;yes
P59768-P62873;P59768;P62873;TRUE;TRUE;both;yes
P59768-P62879;P59768;P62879;TRUE;TRUE;both;yes
P62873-P62879;P62873;P62879;TRUE;FALSE;ReactomeOnly;yes
P52630-Q00978;P52630;Q00978;TRUE;TRUE;both;yes
Q14653-Q92793;Q14653;Q92793;TRUE;FALSE;ReactomeOnly;yes
O00329-P27986;O00329;P27986;TRUE;FALSE;ReactomeOnly;yes
O00268-Q12962;O00268;Q12962;TRUE;TRUE;both;yes
O00268-Q92804;O00268;Q92804;TRUE;TRUE;both;yes
Q12962-Q92804;Q12962;Q92804;TRUE;TRUE;both;yes
O00268-Q00403;O00268;Q00403;TRUE;TRUE;both;yes
Q00403-Q12962;Q00403;Q12962;TRUE;TRUE;both;yes
Q00403-Q92804;Q00403;Q92804;TRUE;FALSE;ReactomeOnly;yes
P13984-P35269;P13984;P35269;TRUE;TRUE;both;yes
O00268-P13984;O00268;P13984;TRUE;FALSE;ReactomeOnly;yes
O00268-P19387;O00268;P19387;TRUE;FALSE;ReactomeOnly;yes
O00268-P19388;O00268;P19388;TRUE;FALSE;ReactomeOnly;yes
O00268-P24928;O00268;P24928;TRUE;FALSE;ReactomeOnly;yes
O00268-P30876;O00268;P30876;TRUE;FALSE;ReactomeOnly;yes
O00268-P35269;O00268;P35269;TRUE;FALSE;ReactomeOnly;yes
O00268-P36954;O00268;P36954;TRUE;FALSE;ReactomeOnly;yes
O00268-P52434;O00268;P52434;TRUE;FALSE;ReactomeOnly;yes
O00268-P52435;O00268;P52435;TRUE;FALSE;ReactomeOnly;yes
O00268-P62487;O00268;P62487;TRUE;FALSE;ReactomeOnly;yes
P13984-P19387;P13984;P19387;TRUE;TRUE;both;yes
P13984-P19388;P13984;P19388;TRUE;TRUE;both;yes
P13984-P24928;P13984;P24928;TRUE;TRUE;both;yes
P13984-P30876;P13984;P30876;TRUE;TRUE;both;yes
P13984-P36954;P13984;P36954;TRUE;TRUE;both;yes
P13984-P52434;P13984;P52434;TRUE;TRUE;both;yes
P13984-P52435;P13984;P52435;TRUE;TRUE;both;yes
P13984-P62487;P13984;P62487;TRUE;TRUE;both;yes
P13984-Q00403;P13984;Q00403;TRUE;TRUE;both;yes
P13984-Q12962;P13984;Q12962;TRUE;FALSE;ReactomeOnly;yes
P13984-Q92804;P13984;Q92804;TRUE;FALSE;ReactomeOnly;yes
P19387-P19388;P19387;P19388;TRUE;TRUE;both;yes
P19387-P24928;P19387;P24928;TRUE;TRUE;both;yes
P19387-P30876;P19387;P30876;TRUE;TRUE;both;yes
P19387-P35269;P19387;P35269;TRUE;TRUE;both;yes
P19387-P36954;P19387;P36954;TRUE;TRUE;both;yes
P19387-P52434;P19387;P52434;TRUE;TRUE;both;yes
P19387-P52435;P19387;P52435;TRUE;TRUE;both;yes
P19387-P62487;P19387;P62487;TRUE;TRUE;both;yes
P19387-Q00403;P19387;Q00403;TRUE;TRUE;both;yes
P19387-Q12962;P19387;Q12962;TRUE;FALSE;ReactomeOnly;yes
P19387-Q92804;P19387;Q92804;TRUE;FALSE;ReactomeOnly;yes
P19388-P24928;P19388;P24928;TRUE;TRUE;both;yes
P19388-P30876;P19388;P30876;TRUE;TRUE;both;yes
P19388-P35269;P19388;P35269;TRUE;TRUE;both;yes
P19388-P36954;P19388;P36954;TRUE;TRUE;both;yes
P19388-P52434;P19388;P52434;TRUE;TRUE;both;yes
P19388-P52435;P19388;P52435;TRUE;TRUE;both;yes
P19388-P62487;P19388;P62487;TRUE;TRUE;both;yes
P19388-Q00403;P19388;Q00403;TRUE;TRUE;both;yes
P19388-Q12962;P19388;Q12962;TRUE;FALSE;ReactomeOnly;yes
P19388-Q92804;P19388;Q92804;TRUE;FALSE;ReactomeOnly;yes
P24928-P30876;P24928;P30876;TRUE;TRUE;both;yes
P24928-P35269;P24928;P35269;TRUE;TRUE;both;yes
P24928-P36954;P24928;P36954;TRUE;TRUE;both;yes
P24928-P52434;P24928;P52434;TRUE;TRUE;both;yes
P24928-P52435;P24928;P52435;TRUE;TRUE;both;yes
P24928-P62487;P24928;P62487;TRUE;TRUE;both;yes
P24928-Q00403;P24928;Q00403;TRUE;TRUE;both;yes
P24928-Q12962;P24928;Q12962;TRUE;FALSE;ReactomeOnly;yes
P24928-Q92804;P24928;Q92804;TRUE;FALSE;ReactomeOnly;yes
P30876-P35269;P30876;P35269;TRUE;TRUE;both;yes
P30876-P36954;P30876;P36954;TRUE;TRUE;both;yes
P30876-P52434;P30876;P52434;TRUE;TRUE;both;yes
P30876-P52435;P30876;P52435;TRUE;TRUE;both;yes
P30876-P62487;P30876;P62487;TRUE;TRUE;both;yes
P30876-Q00403;P30876;Q00403;TRUE;TRUE;both;yes
P30876-Q12962;P30876;Q12962;TRUE;FALSE;ReactomeOnly;yes
P30876-Q92804;P30876;Q92804;TRUE;FALSE;ReactomeOnly;yes
P35269-P36954;P35269;P36954;TRUE;TRUE;both;yes
P35269-P52434;P35269;P52434;TRUE;TRUE;both;yes
P35269-P52435;P35269;P52435;TRUE;TRUE;both;yes
P35269-P62487;P35269;P62487;TRUE;TRUE;both;yes
P35269-Q00403;P35269;Q00403;TRUE;TRUE;both;yes
P35269-Q12962;P35269;Q12962;TRUE;FALSE;ReactomeOnly;yes
P35269-Q92804;P35269;Q92804;TRUE;FALSE;ReactomeOnly;yes
P36954-P52434;P36954;P52434;TRUE;TRUE;both;yes
P36954-P52435;P36954;P52435;TRUE;TRUE;both;yes
P36954-P62487;P36954;P62487;TRUE;TRUE;both;yes
P36954-Q00403;P36954;Q00403;TRUE;TRUE;both;yes
P36954-Q12962;P36954;Q12962;TRUE;FALSE;ReactomeOnly;yes
P36954-Q92804;P36954;Q92804;TRUE;FALSE;ReactomeOnly;yes
P52434-P52435;P52434;P52435;TRUE;TRUE;both;yes
P52434-P62487;P52434;P62487;TRUE;TRUE;both;yes
P52434-Q00403;P52434;Q00403;TRUE;TRUE;both;yes
P52434-Q12962;P52434;Q12962;TRUE;FALSE;ReactomeOnly;yes
P52434-Q92804;P52434;Q92804;TRUE;FALSE;ReactomeOnly;yes
P52435-P62487;P52435;P62487;TRUE;TRUE;both;yes
P52435-Q00403;P52435;Q00403;TRUE;TRUE;both;yes
P52435-Q12962;P52435;Q12962;TRUE;FALSE;ReactomeOnly;yes
P52435-Q92804;P52435;Q92804;TRUE;FALSE;ReactomeOnly;yes
P62487-Q00403;P62487;Q00403;TRUE;TRUE;both;yes
P62487-Q12962;P62487;Q12962;TRUE;FALSE;ReactomeOnly;yes
P62487-Q92804;P62487;Q92804;TRUE;FALSE;ReactomeOnly;yes
P29083-P29084;P29083;P29084;TRUE;TRUE;both;yes
O00268-P29083;O00268;P29083;TRUE;FALSE;ReactomeOnly;yes
O00268-P29084;O00268;P29084;TRUE;FALSE;ReactomeOnly;yes
P13984-P29083;P13984;P29083;TRUE;TRUE;both;yes
P13984-P29084;P13984;P29084;TRUE;TRUE;both;yes
P19387-P29083;P19387;P29083;TRUE;TRUE;both;yes
P19387-P29084;P19387;P29084;TRUE;TRUE;both;yes
P19388-P29083;P19388;P29083;TRUE;TRUE;both;yes
P19388-P29084;P19388;P29084;TRUE;TRUE;both;yes
P24928-P29083;P24928;P29083;TRUE;TRUE;both;yes
P24928-P29084;P24928;P29084;TRUE;TRUE;both;yes
P29083-P30876;P29083;P30876;TRUE;TRUE;both;yes
P29083-P35269;P29083;P35269;TRUE;TRUE;both;yes
P29083-P36954;P29083;P36954;TRUE;TRUE;both;yes
P29083-P52434;P29083;P52434;TRUE;TRUE;both;yes
P29083-P52435;P29083;P52435;TRUE;TRUE;both;yes
P29083-P62487;P29083;P62487;TRUE;TRUE;both;yes
P29083-Q00403;P29083;Q00403;TRUE;TRUE;both;yes
P29083-Q12962;P29083;Q12962;TRUE;FALSE;ReactomeOnly;yes
P29083-Q92804;P29083;Q92804;TRUE;FALSE;ReactomeOnly;yes
P29084-P30876;P29084;P30876;TRUE;TRUE;both;yes
P29084-P35269;P29084;P35269;TRUE;TRUE;both;yes
P29084-P36954;P29084;P36954;TRUE;TRUE;both;yes
P29084-P52434;P29084;P52434;TRUE;TRUE;both;yes
P29084-P52435;P29084;P52435;TRUE;TRUE;both;yes
P29084-P62487;P29084;P62487;TRUE;TRUE;both;yes
P29084-Q00403;P29084;Q00403;TRUE;TRUE;both;yes
P29084-Q12962;P29084;Q12962;TRUE;FALSE;ReactomeOnly;yes
P29084-Q92804;P29084;Q92804;TRUE;FALSE;ReactomeOnly;yes
P27361-Q02750;P27361;Q02750;TRUE;FALSE;ReactomeOnly;yes
P28482-P36507;P28482;P36507;TRUE;FALSE;ReactomeOnly;yes
P12004-P15927;P12004;P15927;TRUE;FALSE;ReactomeOnly;yes
P12004-P27694;P12004;P27694;TRUE;TRUE;both;yes
P12004-P35244;P12004;P35244;TRUE;FALSE;ReactomeOnly;yes
P12004-P35249;P12004;P35249;TRUE;TRUE;both;yes
P12004-P35250;P12004;P35250;TRUE;TRUE;both;yes
P12004-P35251;P12004;P35251;TRUE;TRUE;both;yes
P12004-P40937;P12004;P40937;TRUE;TRUE;both;yes
P12004-P40938;P12004;P40938;TRUE;TRUE;both;yes
P15927-P27694;P15927;P27694;TRUE;TRUE;both;yes
P15927-P35244;P15927;P35244;TRUE;TRUE;both;yes
P15927-P35249;P15927;P35249;TRUE;FALSE;ReactomeOnly;yes
P15927-P35250;P15927;P35250;TRUE;TRUE;both;yes
P15927-P35251;P15927;P35251;TRUE;TRUE;both;yes
P15927-P40937;P15927;P40937;TRUE;FALSE;ReactomeOnly;yes
P15927-P40938;P15927;P40938;TRUE;FALSE;ReactomeOnly;yes
P27694-P35244;P27694;P35244;TRUE;TRUE;both;yes
P27694-P35249;P27694;P35249;TRUE;FALSE;ReactomeOnly;yes
P27694-P35250;P27694;P35250;TRUE;TRUE;both;yes
P27694-P35251;P27694;P35251;TRUE;TRUE;both;yes
P27694-P40937;P27694;P40937;TRUE;FALSE;ReactomeOnly;yes
P27694-P40938;P27694;P40938;TRUE;FALSE;ReactomeOnly;yes
P35244-P35249;P35244;P35249;TRUE;FALSE;ReactomeOnly;yes
P35244-P35250;P35244;P35250;TRUE;TRUE;both;yes
P35244-P35251;P35244;P35251;TRUE;TRUE;both;yes
P35244-P40937;P35244;P40937;TRUE;FALSE;ReactomeOnly;yes
P35244-P40938;P35244;P40938;TRUE;FALSE;ReactomeOnly;yes
P35249-P35250;P35249;P35250;TRUE;TRUE;both;yes
P35249-P35251;P35249;P35251;TRUE;TRUE;both;yes
P35249-P40937;P35249;P40937;TRUE;TRUE;both;yes
P35249-P40938;P35249;P40938;TRUE;TRUE;both;yes
P35250-P35251;P35250;P35251;TRUE;TRUE;both;yes
P35250-P40937;P35250;P40937;TRUE;TRUE;both;yes
P35250-P40938;P35250;P40938;TRUE;TRUE;both;yes
P35251-P40937;P35251;P40937;TRUE;TRUE;both;yes
P35251-P40938;P35251;P40938;TRUE;TRUE;both;yes
P40937-P40938;P40937;P40938;TRUE;TRUE;both;yes
P06746-P27695;P06746;P27695;TRUE;FALSE;ReactomeOnly;yes
P18887-P49916;P18887;P49916;TRUE;TRUE;both;yes
P06746-P18887;P06746;P18887;TRUE;TRUE;both;yes
P06746-P49916;P06746;P49916;TRUE;TRUE;both;yes
P12004-P27695;P12004;P27695;TRUE;FALSE;ReactomeOnly;yes
P12004-P28340;P12004;P28340;TRUE;TRUE;both;yes
P12004-P39748;P12004;P39748;TRUE;FALSE;ReactomeOnly;yes
P12004-P49005;P12004;P49005;TRUE;TRUE;both;yes
P12004-Q15054;P12004;Q15054;TRUE;TRUE;both;yes
P15927-P27695;P15927;P27695;TRUE;FALSE;ReactomeOnly;yes
P15927-P28340;P15927;P28340;TRUE;TRUE;both;yes
P15927-P39748;P15927;P39748;TRUE;FALSE;ReactomeOnly;yes
P15927-P49005;P15927;P49005;TRUE;FALSE;ReactomeOnly;yes
P15927-Q15054;P15927;Q15054;TRUE;FALSE;ReactomeOnly;yes
P27694-P27695;P27694;P27695;TRUE;FALSE;ReactomeOnly;yes
P27694-P28340;P27694;P28340;TRUE;TRUE;both;yes
P27694-P39748;P27694;P39748;TRUE;FALSE;ReactomeOnly;yes
P27694-P49005;P27694;P49005;TRUE;TRUE;both;yes
P27694-Q15054;P27694;Q15054;TRUE;TRUE;both;yes
P27695-P28340;P27695;P28340;TRUE;FALSE;ReactomeOnly;yes
P27695-P35244;P27695;P35244;TRUE;FALSE;ReactomeOnly;yes
P27695-P35249;P27695;P35249;TRUE;FALSE;ReactomeOnly;yes
P27695-P35250;P27695;P35250;TRUE;FALSE;ReactomeOnly;yes
P27695-P35251;P27695;P35251;TRUE;FALSE;ReactomeOnly;yes
P27695-P39748;P27695;P39748;TRUE;FALSE;ReactomeOnly;yes
P27695-P40937;P27695;P40937;TRUE;FALSE;ReactomeOnly;yes
P27695-P40938;P27695;P40938;TRUE;FALSE;ReactomeOnly;yes
P27695-P49005;P27695;P49005;TRUE;FALSE;ReactomeOnly;yes
P27695-Q15054;P27695;Q15054;TRUE;FALSE;ReactomeOnly;yes
P28340-P35244;P28340;P35244;TRUE;TRUE;both;yes
P28340-P35249;P28340;P35249;TRUE;FALSE;ReactomeOnly;yes
P28340-P35250;P28340;P35250;TRUE;TRUE;both;yes
P28340-P35251;P28340;P35251;TRUE;TRUE;both;yes
P28340-P39748;P28340;P39748;TRUE;FALSE;ReactomeOnly;yes
P28340-P40937;P28340;P40937;TRUE;FALSE;ReactomeOnly;yes
P28340-P40938;P28340;P40938;TRUE;FALSE;ReactomeOnly;yes
P28340-P49005;P28340;P49005;TRUE;TRUE;both;yes
P28340-Q15054;P28340;Q15054;TRUE;TRUE;both;yes
P35244-P39748;P35244;P39748;TRUE;FALSE;ReactomeOnly;yes
P35244-P49005;P35244;P49005;TRUE;FALSE;ReactomeOnly;yes
P35244-Q15054;P35244;Q15054;TRUE;FALSE;ReactomeOnly;yes
P35249-P39748;P35249;P39748;TRUE;FALSE;ReactomeOnly;yes
P35249-P49005;P35249;P49005;TRUE;FALSE;ReactomeOnly;yes
P35249-Q15054;P35249;Q15054;TRUE;FALSE;ReactomeOnly;yes
P35250-P39748;P35250;P39748;TRUE;FALSE;ReactomeOnly;yes
P35250-P49005;P35250;P49005;TRUE;FALSE;ReactomeOnly;yes
P35250-Q15054;P35250;Q15054;TRUE;FALSE;ReactomeOnly;yes
P35251-P39748;P35251;P39748;TRUE;FALSE;ReactomeOnly;yes
P35251-P49005;P35251;P49005;TRUE;TRUE;both;yes
P35251-Q15054;P35251;Q15054;TRUE;TRUE;both;yes
P39748-P40937;P39748;P40937;TRUE;FALSE;ReactomeOnly;yes
P39748-P40938;P39748;P40938;TRUE;FALSE;ReactomeOnly;yes
P39748-P49005;P39748;P49005;TRUE;FALSE;ReactomeOnly;yes
P39748-Q15054;P39748;Q15054;TRUE;FALSE;ReactomeOnly;yes
P40937-P49005;P40937;P49005;TRUE;FALSE;ReactomeOnly;yes
P40937-Q15054;P40937;Q15054;TRUE;FALSE;ReactomeOnly;yes
P40938-P49005;P40938;P49005;TRUE;FALSE;ReactomeOnly;yes
P40938-Q15054;P40938;Q15054;TRUE;FALSE;ReactomeOnly;yes
P49005-Q15054;P49005;Q15054;TRUE;TRUE;both;yes
P62304-P62306;P62304;P62306;TRUE;TRUE;both;yes
P62304-P62318;P62304;P62318;TRUE;TRUE;both;yes
P62306-P62318;P62306;P62318;TRUE;TRUE;both;yes
P62304-Q09161;P62304;Q09161;TRUE;TRUE;both;yes
P62306-Q09161;P62306;Q09161;TRUE;TRUE;both;yes
P62318-Q09161;P62318;Q09161;TRUE;TRUE;both;yes
P23458-P40763;P23458;P40763;TRUE;FALSE;ReactomeOnly;yes
P23458-P42224;P23458;P42224;TRUE;FALSE;ReactomeOnly;yes
P40763-P42224;P40763;P42224;TRUE;FALSE;ReactomeOnly;yes
Q13485-Q15796;Q13485;Q15796;TRUE;TRUE;both;yes
P22681-P23458;P22681;P23458;TRUE;FALSE;ReactomeOnly;yes
P22681-Q06124;P22681;Q06124;TRUE;FALSE;ReactomeOnly;yes
P23458-Q06124;P23458;Q06124;TRUE;TRUE;both;yes
O00267-O43148;O00267;O43148;TRUE;FALSE;ReactomeOnly;yes
O00267-O60942;O00267;O60942;TRUE;FALSE;ReactomeOnly;yes
O00267-P13984;O00267;P13984;TRUE;FALSE;ReactomeOnly;yes
O00267-P19387;O00267;P19387;TRUE;FALSE;ReactomeOnly;yes
O00267-P19388;O00267;P19388;TRUE;FALSE;ReactomeOnly;yes
O00267-P24928;O00267;P24928;TRUE;TRUE;both;yes
O00267-P30876;O00267;P30876;TRUE;FALSE;ReactomeOnly;yes
O00267-P35269;O00267;P35269;TRUE;FALSE;ReactomeOnly;yes
O00267-P36954;O00267;P36954;TRUE;FALSE;ReactomeOnly;yes
O00267-P52434;O00267;P52434;TRUE;FALSE;ReactomeOnly;yes
O00267-P52435;O00267;P52435;TRUE;FALSE;ReactomeOnly;yes
O00267-P62487;O00267;P62487;TRUE;FALSE;ReactomeOnly;yes
O43148-O60942;O43148;O60942;TRUE;FALSE;ReactomeOnly;yes
O43148-P13984;O43148;P13984;TRUE;FALSE;ReactomeOnly;yes
O43148-P19387;O43148;P19387;TRUE;FALSE;ReactomeOnly;yes
O43148-P19388;O43148;P19388;TRUE;FALSE;ReactomeOnly;yes
O43148-P24928;O43148;P24928;TRUE;FALSE;ReactomeOnly;yes
O43148-P30876;O43148;P30876;TRUE;FALSE;ReactomeOnly;yes
O43148-P35269;O43148;P35269;TRUE;FALSE;ReactomeOnly;yes
O43148-P36954;O43148;P36954;TRUE;FALSE;ReactomeOnly;yes
O43148-P52434;O43148;P52434;TRUE;FALSE;ReactomeOnly;yes
O43148-P52435;O43148;P52435;TRUE;FALSE;ReactomeOnly;yes
O43148-P62487;O43148;P62487;TRUE;FALSE;ReactomeOnly;yes
O60942-P13984;O60942;P13984;TRUE;FALSE;ReactomeOnly;yes
O60942-P19387;O60942;P19387;TRUE;FALSE;ReactomeOnly;yes
O60942-P19388;O60942;P19388;TRUE;FALSE;ReactomeOnly;yes
O60942-P24928;O60942;P24928;TRUE;FALSE;ReactomeOnly;yes
O60942-P30876;O60942;P30876;TRUE;FALSE;ReactomeOnly;yes
O60942-P35269;O60942;P35269;TRUE;FALSE;ReactomeOnly;yes
O60942-P36954;O60942;P36954;TRUE;FALSE;ReactomeOnly;yes
O60942-P52434;O60942;P52434;TRUE;FALSE;ReactomeOnly;yes
O60942-P52435;O60942;P52435;TRUE;FALSE;ReactomeOnly;yes
O60942-P62487;O60942;P62487;TRUE;FALSE;ReactomeOnly;yes
P04899-P08754;P04899;P08754;TRUE;FALSE;ReactomeOnly;yes
P04899-P09471;P04899;P09471;TRUE;FALSE;ReactomeOnly;yes
P04899-Q00722;P04899;Q00722;TRUE;FALSE;ReactomeOnly;yes
P08754-P09471;P08754;P09471;TRUE;FALSE;ReactomeOnly;yes
P08754-Q00722;P08754;Q00722;TRUE;FALSE;ReactomeOnly;yes
P09471-Q00722;P09471;Q00722;TRUE;FALSE;ReactomeOnly;yes
P10644-P13861;P10644;P13861;TRUE;FALSE;ReactomeOnly;yes
P10644-P17612;P10644;P17612;TRUE;FALSE;ReactomeOnly;yes
P13861-P17612;P13861;P17612;TRUE;TRUE;both;yes
O15160-P19388;O15160;P19388;TRUE;FALSE;ReactomeOnly;yes
O15160-P52434;O15160;P52434;TRUE;FALSE;ReactomeOnly;yes
O15160-Q8WUA4;O15160;Q8WUA4;TRUE;FALSE;ReactomeOnly;yes
O15160-Q9Y5Q8;O15160;Q9Y5Q8;TRUE;FALSE;ReactomeOnly;yes
P19388-Q8WUA4;P19388;Q8WUA4;TRUE;FALSE;ReactomeOnly;yes
P19388-Q9Y5Q8;P19388;Q9Y5Q8;TRUE;FALSE;ReactomeOnly;yes
P52434-Q8WUA4;P52434;Q8WUA4;TRUE;FALSE;ReactomeOnly;yes
P52434-Q9Y5Q8;P52434;Q9Y5Q8;TRUE;FALSE;ReactomeOnly;yes
Q8WUA4-Q9Y5Q8;Q8WUA4;Q9Y5Q8;TRUE;TRUE;both;yes
O95639-Q09161;O95639;Q09161;TRUE;FALSE;ReactomeOnly;yes
O95639-Q10570;O95639;Q10570;TRUE;TRUE;both;yes
O95639-Q6UN15;O95639;Q6UN15;TRUE;TRUE;both;yes
O95639-Q92797;O95639;Q92797;TRUE;FALSE;ReactomeOnly;yes
O95639-Q9C0J8;O95639;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
O95639-Q9P2I0;O95639;Q9P2I0;TRUE;TRUE;both;yes
O95639-Q9UKF6;O95639;Q9UKF6;TRUE;TRUE;both;yes
Q09161-Q10570;Q09161;Q10570;TRUE;FALSE;ReactomeOnly;yes
Q09161-Q6UN15;Q09161;Q6UN15;TRUE;FALSE;ReactomeOnly;yes
Q09161-Q92797;Q09161;Q92797;TRUE;FALSE;ReactomeOnly;yes
Q09161-Q9C0J8;Q09161;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
Q09161-Q9P2I0;Q09161;Q9P2I0;TRUE;FALSE;ReactomeOnly;yes
Q09161-Q9UKF6;Q09161;Q9UKF6;TRUE;FALSE;ReactomeOnly;yes
Q10570-Q6UN15;Q10570;Q6UN15;TRUE;TRUE;both;yes
Q10570-Q92797;Q10570;Q92797;TRUE;TRUE;both;yes
Q10570-Q9C0J8;Q10570;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
Q10570-Q9P2I0;Q10570;Q9P2I0;TRUE;TRUE;both;yes
Q10570-Q9UKF6;Q10570;Q9UKF6;TRUE;TRUE;both;yes
Q6UN15-Q92797;Q6UN15;Q92797;TRUE;FALSE;ReactomeOnly;yes
Q6UN15-Q9C0J8;Q6UN15;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
Q6UN15-Q9P2I0;Q6UN15;Q9P2I0;TRUE;TRUE;both;yes
Q6UN15-Q9UKF6;Q6UN15;Q9UKF6;TRUE;TRUE;both;yes
Q92797-Q9C0J8;Q92797;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
Q92797-Q9P2I0;Q92797;Q9P2I0;TRUE;TRUE;both;yes
Q92797-Q9UKF6;Q92797;Q9UKF6;TRUE;TRUE;both;yes
Q9C0J8-Q9P2I0;Q9C0J8;Q9P2I0;TRUE;FALSE;ReactomeOnly;yes
Q9C0J8-Q9UKF6;Q9C0J8;Q9UKF6;TRUE;FALSE;ReactomeOnly;yes
Q9P2I0-Q9UKF6;Q9P2I0;Q9UKF6;TRUE;TRUE;both;yes
O95639-P33240;O95639;P33240;TRUE;FALSE;ReactomeOnly;yes
O95639-Q05048;O95639;Q05048;TRUE;FALSE;ReactomeOnly;yes
O95639-Q12996;O95639;Q12996;TRUE;FALSE;ReactomeOnly;yes
O95639-Q9H0L4;O95639;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
P33240-Q05048;P33240;Q05048;TRUE;TRUE;both;yes
P33240-Q09161;P33240;Q09161;TRUE;FALSE;ReactomeOnly;yes
P33240-Q10570;P33240;Q10570;TRUE;TRUE;both;yes
P33240-Q12996;P33240;Q12996;TRUE;TRUE;both;yes
P33240-Q6UN15;P33240;Q6UN15;TRUE;FALSE;ReactomeOnly;yes
P33240-Q92797;P33240;Q92797;TRUE;TRUE;both;yes
P33240-Q9C0J8;P33240;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
P33240-Q9H0L4;P33240;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
P33240-Q9P2I0;P33240;Q9P2I0;TRUE;TRUE;both;yes
P33240-Q9UKF6;P33240;Q9UKF6;TRUE;TRUE;both;yes
Q05048-Q09161;Q05048;Q09161;TRUE;FALSE;ReactomeOnly;yes
Q05048-Q10570;Q05048;Q10570;TRUE;TRUE;both;yes
Q05048-Q12996;Q05048;Q12996;TRUE;TRUE;both;yes
Q05048-Q6UN15;Q05048;Q6UN15;TRUE;FALSE;ReactomeOnly;yes
Q05048-Q92797;Q05048;Q92797;TRUE;TRUE;both;yes
Q05048-Q9C0J8;Q05048;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
Q05048-Q9H0L4;Q05048;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q05048-Q9P2I0;Q05048;Q9P2I0;TRUE;TRUE;both;yes
Q05048-Q9UKF6;Q05048;Q9UKF6;TRUE;TRUE;both;yes
Q09161-Q12996;Q09161;Q12996;TRUE;FALSE;ReactomeOnly;yes
Q09161-Q9H0L4;Q09161;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q10570-Q12996;Q10570;Q12996;TRUE;TRUE;both;yes
Q10570-Q9H0L4;Q10570;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q12996-Q6UN15;Q12996;Q6UN15;TRUE;FALSE;ReactomeOnly;yes
Q12996-Q92797;Q12996;Q92797;TRUE;TRUE;both;yes
Q12996-Q9C0J8;Q12996;Q9C0J8;TRUE;FALSE;ReactomeOnly;yes
Q12996-Q9H0L4;Q12996;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q12996-Q9P2I0;Q12996;Q9P2I0;TRUE;TRUE;both;yes
Q12996-Q9UKF6;Q12996;Q9UKF6;TRUE;TRUE;both;yes
Q6UN15-Q9H0L4;Q6UN15;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q92797-Q9H0L4;Q92797;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q9C0J8-Q9H0L4;Q9C0J8;Q9H0L4;TRUE;FALSE;ReactomeOnly;yes
Q9H0L4-Q9P2I0;Q9H0L4;Q9P2I0;TRUE;FALSE;ReactomeOnly;yes
Q9H0L4-Q9UKF6;Q9H0L4;Q9UKF6;TRUE;FALSE;ReactomeOnly;yes
O43809-O94913;O43809;O94913;TRUE;TRUE;both;yes
O43809-O95639;O43809;O95639;TRUE;FALSE;ReactomeOnly;yes
O43809-P33240;O43809;P33240;TRUE;FALSE;ReactomeOnly;yes
O43809-P51003;O43809;P51003;TRUE;FALSE;ReactomeOnly;yes
